nom,adresse,code_postal,ville,telephone,latitude,longitude,visible
Espace Bio,,70100,Gray,,,,1
Esprit Paysan,,70000,Vesoul,,,,1
La Combeaufontine,,70120,Combeaufontaine,,,,1
Biocoop,,70000,Vesoul,,,,1
L'Épicerie d'Adèle,,70500,Jussey,,,,1
Esprit Paysan,,70300,Froideconche,,,,1
Biocoop,,70300,Luxeuil-les-Bains,,,,1
La Localerie Grayloise,,70100,Gray,,,,1
Chez la Fleuriste,,70700,Gy,,,,1
L'Atelier Huile de Noix,,70180,Denèvre,,,,1
Au Bois Quartois,,70120,La Quarte,,,,1
La Localerie,,70140,Pesmes,,,,1
Un Monde de Mains,,70190,Rioz,,,,1
Madame Coquillette,,70150,Cult,,,,1
Cé'bo,,70300,Luxeuil-les-Bains,,,,1
Atelier et Ève,,21220,Gevrey-Chambertin,,,,1
La Ruch'Bio,,25300,Pontarlier,,,,1
Fromagerie du Préverdot,,25115,Pouilley-les-Vignes,,,,1
Croc'Nature,,25770,Serre-les-Sapins,,,,1
La Ruch'Bio,,25370,Jougne,,,,1
Les Épiciers du Vrac,,25480,Pirey,,,,1
